,coord,frequentadores
200,"[293896, 7387688]","[5121125101, 5121125102]"
201,"[293901, 7378862]","[5110027101, 5130026102]"
202,"[293910, 7378879]",[5110920101]
203,"[293921, 7387225]",[5120693104]
204,"[293922, 7379643]",[5110327101]
205,"[293929, 7387783]","[5121171102, 5121228104]"
206,"[293930, 7387765]",[5082440102]
207,"[293962, 7387783]","[5121228104, 5121228102, 5121228103, 5121228101]"
208,"[293975, 7379025]",[5110911101]
209,"[293990, 7379030]","[5110918101, 5121120101]"
210,"[294007, 7379040]",[5110002103]
211,"[294009, 7388052]","[5120035101, 5120035101]"
212,"[294018, 7379159]","[5110040101, 5110040102]"
213,"[294022, 7387909]","[5080038101, 5080038102]"
214,"[294030, 7387459]",[5121599103]
215,"[294050, 7388942]",[5120005107]
216,"[294052, 7388939]",[5120311102]
217,"[294053, 7388935]",[5121228102]
218,"[294068, 7378927]",[5110911104]
219,"[294069, 7378927]",[5111336104]
220,"[294075, 7378162]",[820589101]
221,"[294086, 7388784]",[5120022101]
222,"[294092, 7379383]",[5110002103]
223,"[294123, 7379530]","[5110915101, 5110915102]"
224,"[294138, 7388173]","[5121660103, 5121660104, 5121660105]"
225,"[294141, 7387763]",[5110909102]
226,"[294146, 7378883]","[5121913101, 5121913103, 5110921101, 5110921101]"
227,"[294148, 7388199]",[5120536101]
228,"[294151, 7387724]","[5120633102, 5120633101, 5120633101]"
229,"[294154, 7375652]",[5110976102]
230,"[294155, 7389505]","[5120532103, 5120532102, 5120532101]"
231,"[294160, 7386258]","[5120568104, 5120568101, 5120568102, 5120568102, 5120568103]"
232,"[294173, 7388316]",[5121148102]
233,"[294177, 7387684]","[5120005103, 5120009102, 5120005102]"
234,"[294200, 7377637]","[5110920103, 5110920101]"
235,"[294205, 7388021]",[4650360103]
236,"[294212, 7389621]","[5120004103, 5120004102, 5120004101, 5120004101]"
237,"[294240, 7389033]",[5120309101]
238,"[294262, 7387669]","[5120026104, 5120026101]"
239,"[294274, 7387649]",[5120536101]
240,"[294301, 7389548]","[5120309102, 5120309101]"
241,"[294306, 7371985]","[5110921104, 5110921103, 5110921101, 5110921101, 5110921102, 5110921101]"
242,"[294311, 7381551]","[5111328101, 5111328103, 5111328104, 5111328102]"
243,"[294314, 7387693]",[5120671102]
244,"[294320, 7381577]","[5111328102, 5111328101]"
245,"[294323, 7387180]","[5120693105, 5120026101, 5120026103, 5120026104, 5120693103, 5120026101, 5120026104]"
246,"[294389, 7353726]","[4750058109, 4750058107, 4750058106, 4750058105, 4750058104, 4750058103, 4750058102, 4750058108]"
247,"[294394, 7378221]","[5110911104, 5110911105, 5110911103, 5110911102, 5110911101, 5110911101, 5110911101]"
248,"[294396, 7387798]","[5121171105, 5121171106]"
249,"[294427, 7389589]",[5120039101]
250,"[294512, 7410734]",[5171173101]
251,"[294552, 7390527]","[5120629101, 5120629103, 5120629102, 5120629102, 5120629101]"
252,"[294581, 7410529]","[5170008105, 5170008104, 5170008101]"
253,"[294604, 7384525]",[5110021103]
254,"[294618, 7410518]","[5171418104, 5171418103, 5171418101, 5171418102, 5171418102]"
255,"[294621, 7372013]","[5110921104, 5110921101, 5110921103]"
256,"[294641, 7410347]",[5170021101]
257,"[294656, 7411501]","[5171203102, 5171203103, 5171203101]"
258,"[294675, 7389388]","[5120311101, 5120311104, 5120311103, 5120311102]"
259,"[294681, 7385831]","[5120041103, 5120041102, 5120041101, 5120041104]"
260,"[294687, 7411840]","[5170044103, 5170044102]"
261,"[294702, 7387153]","[5120633101, 5120633102, 5120633103]"
262,"[294715, 7410503]","[5170028101, 5170028102, 5170028103]"
263,"[294735, 7410561]","[5170030102, 5171418102, 5171418104, 5171418103]"
264,"[294736, 7390660]","[5120629102, 5120629101, 5120629101, 5120629102]"
265,"[294736, 7411200]","[5171203103, 5170433103, 5170433102, 5170012104, 5170433106, 5170044102, 5170333103, 5170333102]"
266,"[294745, 7410566]",[5170030102]
267,"[294806, 7410699]",[5171174102]
268,"[294843, 7411288]",[5170043103]
269,"[294849, 7411592]","[5170333103, 5170333101, 5170333102]"
270,"[294869, 7410626]","[5170028102, 5170028103]"
271,"[294881, 7411254]","[5171418102, 5171418102]"
272,"[294941, 7411138]",[5170044103]
273,"[294951, 7411068]",[5170033102]
274,"[294963, 7410482]","[5170015103, 5170015101]"
275,"[294974, 7351588]",[4750018101]
276,"[294991, 7390690]",[5120321102]
277,"[294997, 7410573]",[5170304103]
278,"[295000, 7410901]","[5170315103, 5170315104]"
279,"[295020, 7388059]",[5120321102]
280,"[295033, 7386274]",[5120041104]
281,"[295034, 7410903]",[5170008104]
282,"[295036, 7411253]","[5170043103, 5170043101]"
283,"[295048, 7410850]","[5170309104, 5170309101]"
284,"[295055, 7387628]",[5120595104]
285,"[295064, 7387103]","[5120026101, 5120026101, 5120026103, 5120026104, 5120026104]"
286,"[295070, 7387597]",[5121146101]
287,"[295073, 7411303]","[5170433105, 5170433102, 5170433104, 5170433103, 5170419104, 5170433107, 5170433106]"
288,"[295077, 7388531]","[5120022101, 5120022101, 5120022102]"
289,"[295079, 7395436]","[5150018102, 5150018101]"
290,"[295120, 7390070]","[5120005107, 5120005103, 5120005102]"
291,"[295123, 7380049]","[5111336101, 5111336102, 5111336103, 5111336104, 5111336105, 5111336106]"
292,"[295150, 7381390]",[5082272101]
293,"[295182, 7395398]","[5130006103, 5130006103]"
294,"[295198, 7379614]","[5111339103, 5111339101]"
295,"[295224, 7387903]","[5120628102, 5120628103]"
296,"[295238, 7390346]",[5121146104]
297,"[295243, 7411456]","[5171599102, 5171599101]"
298,"[295248, 7388030]","[5120035102, 5120035103]"
299,"[295250, 7388025]","[5120027101, 5120027101, 5120027103]"
300,"[295252, 7381756]",[5070024101]
301,"[295275, 7411259]","[5171307101, 5171307102]"
302,"[295296, 7411001]","[5170515102, 5170515102]"
303,"[295299, 7410966]","[5170052104, 5170052102]"
304,"[295303, 7381599]",[281733101]
305,"[295304, 7394985]",[5150018102]
306,"[295319, 7411011]","[5171409104, 5171409102]"
307,"[295327, 7410920]",[5171599101]
308,"[295343, 7411965]",[5170008105]
309,"[295364, 7386390]","[5121660105, 5121660101, 5121660103, 5121660104]"
310,"[295374, 7411188]",[5170052102]
311,"[295377, 7386655]","[5121663102, 5121663101, 5121663103]"
312,"[295380, 7388166]","[5120027103, 5120027101, 5120027101, 5120027102]"
313,"[295399, 7386675]","[5121913101, 5121913103, 5121913104]"
314,"[295401, 7381052]",[5110902102]
315,"[295405, 7411104]","[5170033103, 5170033101, 5170033101]"
316,"[295405, 7411138]",[5171173101]
317,"[295405, 7411139]","[5160016101, 5170419104, 5170433104, 5170433105]"
318,"[295412, 7410905]","[5170515102, 5170515102, 5170515101]"
319,"[295415, 7410915]",[5171599102]
320,"[295419, 7410923]","[5170022101, 5170022102]"
321,"[295437, 7411149]",[5170388102]
322,"[295438, 7386531]",[5121156103]
323,"[295441, 7411091]","[5170012103, 5170052104]"
324,"[295441, 7411092]",[5170031102]
325,"[295445, 7393442]",[5130310101]
326,"[295456, 7392590]","[5130315102, 5130315101, 5130315101]"
327,"[295458, 7411146]","[5171172101, 5171172101]"
328,"[295459, 7386668]","[5121914103, 5121914102, 5121914102, 5121914101]"
329,"[295460, 7382015]","[5121176103, 5121176103]"
330,"[295477, 7386824]",[5121599101]
331,"[295482, 7388047]",[2471105102]
332,"[295496, 7386451]","[5121156101, 5121156103]"
333,"[295507, 7386290]","[5121004101, 5121004104, 5121004103, 5121004102]"
334,"[295515, 7386839]","[5121599102, 5121599103, 5121599101]"
335,"[295516, 7386819]","[5120578103, 5120578102, 5120578104]"
336,"[295516, 7387619]",[5121125101]
337,"[295525, 7387041]",[5120009102]
338,"[295529, 7390169]",[800050101]
339,"[295547, 7410839]",[5170022102]
340,"[295565, 7387105]","[5120693104, 5120693101, 5120693103, 5120693101, 5120693102, 5120693105]"
341,"[295572, 7387048]",[2721851103]
342,"[295590, 7383034]","[5120002104, 5120002103, 5120002102, 5120002101]"
343,"[295606, 7390266]",[5090311102]
344,"[295614, 7386509]","[5120035102, 5120035101, 5120035103, 5120035101]"
345,"[295628, 7383190]",[5120003101]
346,"[295630, 7387596]","[5120022101, 5120022102]"
347,"[295632, 7390293]","[5120039101, 5120039102]"
348,"[295640, 7386919]","[5121914102, 5121663103, 5121914102, 5121914103, 5121913104]"
349,"[295672, 7352083]",[4750018104]
350,"[295686, 7388482]","[5120671102, 5120671101]"
351,"[295690, 7390308]","[5120009102, 5121148103]"
352,"[295697, 7386721]","[5120030101, 5120030103, 5120030102]"
353,"[295701, 7386418]",[5121004103]
354,"[295719, 7383126]","[5060054102, 5120003105, 5120002103, 5120011105, 5120003101, 5120011104, 5120003101, 5120003104, 5120002104]"
355,"[295725, 7352206]","[4750059104, 4750059105]"
356,"[295737, 7352011]","[4750047101, 4750047102]"
357,"[295755, 7411925]","[5170012101, 5170012105, 5170012101]"
358,"[295766, 7383274]",[5121635101]
359,"[295771, 7390336]",[5120004103]
360,"[295778, 7410372]","[5170320106, 5170320107]"
361,"[295792, 7382991]","[5121171103, 5121171103, 5120003101, 5120003104, 5120003105, 5120003101]"
362,"[295827, 7387670]",[5121599102]
363,"[295830, 7390395]",[5120628102]
364,"[295834, 7385060]",[5121635101]
365,"[295873, 7387744]",[4770037102]
366,"[295874, 7387750]","[5080090102, 5080090104, 5080090101]"
367,"[295949, 7394393]","[5130323104, 5130331103, 5130330105]"
