,coord,frequentadores
132,"[291844, 7386988]",[4700012101]
133,"[291889, 7380906]",[5070013104]
134,"[291937, 7380508]",[5110035105]
135,"[291945, 7380492]",[5110010102]
136,"[292037, 7377752]","[5110045101, 5110045102]"
137,"[292166, 7381370]","[5110010102, 5110013104, 5110013101, 5110010104, 5110010101, 5110013103]"
138,"[292473, 7354141]","[4750020101, 4750020102]"
139,"[292481, 7383749]","[5110909103, 5110909101, 5110909105, 5110909104, 5110909102, 5110909106, 5110909101]"
140,"[292506, 7389086]","[5120595104, 5120595103, 5120595101]"
141,"[292524, 7351068]","[4750056102, 4750018103]"
142,"[292590, 7379845]","[5110013103, 5110013104, 5110035104]"
143,"[292627, 7387926]",[5121004104]
144,"[292784, 7387882]",[4660967101]
145,"[292790, 7386645]","[5121228101, 360083101, 5121228103, 5121228102]"
146,"[292835, 7387878]",[5120004102]
147,"[292858, 7379718]","[5110001101, 5110356101, 5110356102, 5110001102]"
148,"[292894, 7386631]","[5120039106, 5120039105, 5120039104, 5120039102, 5120039101, 5120039101, 5120039107]"
149,"[292896, 7387795]","[5121171104, 5121171103, 5121171105, 5121171102, 5121171103, 5121171101, 5121171106, 5121171102]"
150,"[292904, 7382347]","[5110043104, 5110043101, 5110043102, 5110043102]"
151,"[292937, 7384134]",[5120633101]
152,"[292945, 7387741]","[5110909104, 5110909103]"
153,"[292955, 7387574]","[5121148103, 5121148102]"
154,"[292979, 7380526]","[5110007102, 5110007101, 5110007104]"
155,"[292982, 7387758]","[5130501102, 5130501104, 5130501103, 5130501101]"
156,"[292986, 7389515]","[5120722101, 5120722102]"
157,"[293015, 7379850]",[5110038103]
158,"[293020, 7382233]",[5121176101]
159,"[293096, 7379648]","[5110001101, 5110001102]"
160,"[293119, 7379630]","[5080055105, 5080055104, 5080055101, 5080055101]"
161,"[293122, 7387750]",[5120039104]
162,"[293175, 7376949]",[5080055103]
163,"[293208, 7387108]",[5120568103]
164,"[293236, 7378422]","[5110926101, 5110926104, 5110926104, 5110926103, 5110926101]"
165,"[293248, 7377486]",[5120673101]
166,"[293301, 7387265]","[5110909105, 5110909101, 5110909106, 5120039107, 5120039105, 5120039106, 5110909101]"
167,"[293328, 7377584]","[5110911101, 5110911101, 5110911105]"
168,"[293333, 7388930]",[5120311103]
169,"[293339, 7379457]",[5110027101]
170,"[293413, 7381563]","[5110050102, 5110050104, 5110050101, 5110050103, 5110050106, 5110050105]"
171,"[293465, 7380375]","[5110002101, 5110002103, 5110002103]"
172,"[293498, 7378552]",[5111339103]
173,"[293502, 7351516]",[4750055101]
174,"[293512, 7388176]",[5120722102]
175,"[293545, 7387991]",[5120041103]
176,"[293545, 7388591]",[5120673103]
177,"[293557, 7386722]","[5120568104, 5120568102, 5120568102]"
178,"[293586, 7382126]","[5111332102, 5111332104, 5111332105, 5110043102, 5110043102, 5111332102, 5110050103, 5110043104, 5110050104]"
179,"[293621, 7388499]","[5121146104, 5121146101]"
180,"[293657, 7380451]","[5110337101, 5110337103, 5110337104]"
181,"[293660, 7388626]",[5120011103]
182,"[293675, 7379211]","[5110038103, 5110337104]"
183,"[293675, 7388133]",[5110050101]
184,"[293681, 7389033]","[5120673101, 5120673103]"
185,"[293686, 7381740]","[5111332102, 5111332104, 5111332105, 5111332102]"
186,"[293695, 7388144]",[5120628103]
187,"[293698, 7379078]","[5110029101, 5110029102]"
188,"[293710, 7387967]","[5120693101, 5120693101]"
189,"[293719, 7379317]","[5110351103, 5110007104]"
190,"[293729, 7378582]","[5110926104, 5110926104, 5110926103, 5110926101, 5110926102, 5110926101]"
191,"[293745, 7379006]",[5080055101]
192,"[293772, 7379091]",[5150331107]
193,"[293790, 7373419]",[5110918101]
194,"[293818, 7381064]",[5110031101]
195,"[293820, 7378977]","[5111336101, 5110040102, 5110920103, 5111336106, 5111336105, 5111336103, 5111336102]"
196,"[293831, 7379120]",[5110010104]
197,"[293849, 7380006]",[5110327101]
