,coord,frequentadores
131,"[298800, 7357149]","[4710008104, 4710008103, 4710008103, 4710008104]"
132,"[298892, 7357346]","[4710882104, 4710882104]"
133,"[298897, 7394697]",[5150402103]
134,"[298921, 7400622]","[5163023103, 5163023103, 1041177103, 1041177103, 1041177104, 1041177104]"
135,"[298977, 7400697]","[5162516103, 5162516103]"
136,"[299004, 7395532]","[5152044106, 5150064103, 5152044106]"
137,"[299131, 7395288]","[5150011104, 5150011104, 5150011103, 5150011103]"
138,"[299673, 7393880]","[5150045105, 5150600104, 5150045105, 5150045104, 5150045104, 5150045103, 5150045103, 5150008102]"
139,"[299695, 7394607]","[5150051103, 5150051103]"
140,"[299722, 7393959]",[5150008103]
141,"[299945, 7408929]","[5161124103, 5161124103]"
142,"[299967, 7409895]","[5170346104, 5170346104]"
143,"[299979, 7394336]","[5150045106, 5150045106]"
144,"[300055, 7408909]","[5171203102, 5171203102]"
145,"[300354, 7401367]","[5160120102, 5160120102]"
146,"[300356, 7401046]","[4830021103, 4830021103]"
147,"[300383, 7401106]","[4830016103, 4830016103]"
148,"[300387, 7383847]","[5081196103, 5081196103, 5080971102, 5080971102]"
149,"[300475, 7392178]","[5150017104, 5150017104]"
150,"[300796, 7386757]","[5080053102, 5080053102, 5080882103, 5080882103]"
151,"[300839, 7394701]","[5150356104, 5150356104]"
152,"[300856, 7386679]","[5080882104, 5080882104, 5080039104, 5080039104]"
153,"[300963, 7394479]","[5150069103, 5150069103, 5150055103, 5150055103]"
154,"[301029, 7392993]","[5150072104, 5150072104, 5130008103, 5130534104, 5130534104]"
155,"[301105, 7385968]","[3310946104, 3310946104, 5081074103, 5081074103]"
156,"[301145, 7393743]","[5150331102, 5150331102]"
157,"[301247, 7393758]","[5150072103, 5150072103]"
158,"[301261, 7387085]","[5080836102, 5080836102]"
159,"[301444, 7385027]","[5080015104, 5080015104]"
160,"[301485, 7387754]",[5080047103]
161,"[301522, 7387372]","[5080084102, 5080084102]"
162,"[301561, 7393064]",[5150037103]
163,"[301611, 7395108]","[5140022103, 5140022103]"
164,"[301661, 7360430]","[4710890103, 4710019104, 4710029103, 4710890103, 4710019104, 4710029103]"
165,"[301702, 7360319]","[4710011105, 4710011105, 4710038103, 4710038103, 4710040104, 4710040104, 4710948103, 4710948103]"
166,"[301759, 7393574]","[5150331103, 5150331103]"
167,"[301771, 7395794]","[5150350102, 5150350102, 5150392104, 5150350102, 5150392104, 5150392104, 5150392104, 5150350102, 5050737103, 5050737103]"
168,"[301787, 7393351]","[5150029103, 5150029103]"
169,"[301833, 7393773]","[5151963102, 5151963102]"
170,"[301914, 7393778]",[5151967103]
171,"[301915, 7386888]","[5080370103, 5080370103]"
172,"[301953, 7394178]","[5150331105, 5150331105, 5150331105, 5150331105, 5150331105, 5150331105]"
173,"[301976, 7394139]","[5150331106, 5150331106]"
174,"[301976, 7395613]","[5150063103, 5150063103]"
