,coord,frequentadores
128,"[293818, 7381064]",[5110031102]
129,"[293901, 7378862]","[5130026102, 5130026102, 5110027101, 5110027101]"
130,"[293907, 7378811]",[5110915105]
131,"[293910, 7378879]","[5110920101, 5110920101]"
132,"[293922, 7379643]","[5110012101, 5110012102, 5110327101, 5110327101]"
133,"[293930, 7387765]","[5082440102, 5082440102, 5082440102]"
134,"[293962, 7387783]","[5121228101, 5121228101]"
135,"[294007, 7379040]","[5110002103, 5110002103, 5110002103, 5110002103]"
136,"[294009, 7388052]","[5120035101, 5120035101, 5120035101, 5120035101]"
137,"[294053, 7388935]","[5121228102, 5121228102, 5121228102]"
138,"[294086, 7388784]","[5120022101, 5120022101, 5120022101, 5120022101]"
139,"[294138, 7388173]","[5121660105, 5121660103, 5121660105, 5121660104, 5121660104, 5121660103]"
140,"[294146, 7378883]",[5080413101]
141,"[294147, 7388614]",[1442254102]
142,"[294173, 7388316]","[5121148102, 5121148102]"
143,"[294205, 7388021]","[4650360103, 4650360103]"
144,"[294301, 7389548]","[5120309102, 5120309101, 5120309102, 5120309101]"
145,"[294320, 7381577]","[5111328101, 5111328101, 5111328102, 5111328102]"
146,"[294389, 7353726]",[4750058101]
147,"[294394, 7378221]","[5110911102, 5110911102]"
148,"[294512, 7410734]","[5171173101, 5171173101]"
149,"[294594, 7384511]","[2490047101, 2490047101]"
150,"[294621, 7372013]","[5110921104, 5110921101, 5110921101, 5110921101, 5110921103, 5110921101, 5110921103, 5110921101, 5110921101, 5110921104]"
151,"[294675, 7389388]","[5120311101, 5120311104, 5120311104, 5120311101]"
152,"[294702, 7387153]","[5120633101, 5120633101, 5120633101, 5120633101]"
153,"[294735, 7410561]","[5170030102, 5170030102]"
154,"[294736, 7390660]","[5120629102, 5120629102, 5120629101, 5120629101, 5120629101, 5120629102, 5120629101, 5120629102]"
155,"[294736, 7411200]","[5170044102, 5170044102]"
156,"[294806, 7410699]","[5171174102, 5171174102]"
157,"[294881, 7411254]","[5171418102, 5171418102, 5171418102, 5171418102, 5171418102]"
